name,node_code,node_type,owner,province,latitude,longitude,planning_region,sources,notes
"Deer Hill 1012S",AB_1012S_DSS,DSS,"Altalink Management Ltd.",AB,53.806344,-116.619471,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Shamrock 1018S",AB_1018S_DSS,DSS,"Altalink Management Ltd.",AB,49.650996,-111.291014,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Cheviot 101S",AB_101S_DSS,DSS,"Altalink Management Ltd.",AB,53.086399,-117.437862,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Vista 1029S",AB_1029S_DSS,DSS,"Altalink Management Ltd.",AB,53.364501,-117.341570,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Langdon 102S",AB_102S_DSS,DSS,"Altalink Management Ltd.",AB,50.959340,-113.719784,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Margie 1034S",AB_1034S_ISS,ISS,"Altalink Management Ltd.",AB,55.460078,-111.224915,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Margie 1034S JCT",AB_1034S_JCT,JCT,"Altalink Management Ltd.",AB,55.350424,-111.234209,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Goose Lake 103S",AB_103S_DSS,DSS,"Altalink Management Ltd.",AB,49.515549,-113.923193,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Watson Creek 104S",AB_104S_DSS,DSS,"Altalink Management Ltd.",AB,53.276909,-117.743930,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Bilby 105S",AB_105S_DSS,DSS,"Altalink Management Ltd.",AB,53.556955,-114.007614,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Bilby 105S JCT",AB_105S_JCT,JCT,"Altalink Management Ltd.",AB,53.556046,-114.001764,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Windrise 1063S",AB_1063S_GSS,GSS,"Altalink Management Ltd.",AB,49.492220,-113.444912,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Paddle River 106S",AB_106S_DSS,DSS,"Altalink Management Ltd.",AB,53.600612,-115.448577,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Paddle River 106S JCT",AB_106S_JCT,JCT,"Altalink Management Ltd.",AB,53.599498,-115.448674,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Westfield 107S",AB_107S_DSS,DSS,"Altalink Management Ltd.",AB,49.670251,-111.493872,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Amelia 108S",AB_108S_DSS,DSS,"Altalink Management Ltd.",AB,53.824834,-113.048779,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Coalbanks 111S",AB_111S_DSS,DSS,"Altalink Management Ltd.",AB,49.686887,-112.853651,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Windy Point 112S",AB_112S_DSS,DSS,"Altalink Management Ltd.",AB,49.583451,-113.843028,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Windy Point 112S JCT",AB_112S_JCT,JCT,"Altalink Management Ltd.",AB,49.582515,-113.842892,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ghost Pine 114S",AB_114S_DSS,DSS,"ATCO Electric Ltd.",AB,51.872348,-113.318052,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ghost Pine 114S JCT",AB_114S_JCT,JCT,"ATCO Electric Ltd.",AB,51.911318,-113.241355,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
