name,node_code,node_type,owner,province,latitude,longitude,planning_region,sources,notes
"93K4-89 JCT",ON_93K_JCT,JCT,HONI,ON,48.124799,-80.079361,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"A8K-19EO JCT",ON_A19_JCT,JCT,HONI,ON,48.743043,-80.680320,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"A8K-47EO JCT",ON_A47_JCT,JCT,HONI,ON,48.160600,-80.076511,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"A5RK STR O7 JCT",ON_A5R_JCT,JCT,HONI,ON,45.405549,-75.644990,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Abitibi JCT",ON_AB1_JCT,JCT,HONI,ON,48.352660,-89.243680,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Abitibi Canyon JCT #2",ON_AB2_JCT,JCT,HONI,ON,49.880497,-81.574518,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Abitibi Canyon GS",ON_ABC_GSS,GSS,HONI,ON,49.880276,-81.571085,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Abit Cons NAN91 JCT",ON_ACS_JCT,JCT,HONI,ON,43.100816,-79.180269,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Adelaide JCT",ON_ADE_JCT,JCT,HONI,ON,43.018497,-81.739825,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Agimak DS",ON_AGM_DSS,DSS,HONI,ON,49.435521,-91.628065,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Agimak DS JCT",ON_AGM_JCT,JCT,HONI,ON,49.436646,-91.629220,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Agincourt TS",ON_AGN_DSS,DSS,HONI,ON,43.810016,-79.296384,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Agincourt JCT",ON_AGN_JCT,JCT,HONI,ON,43.811475,-79.297124,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Aguasabon SWS",ON_AGU_SWS,SWS,HONI,ON,48.786969,-87.160570,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ainsworth JCT",ON_AIN_JCT,JCT,HONI,ON,48.798756,-93.702079,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Albion TS",ON_ALB_DSS,DSS,HONI,ON,45.371525,-75.647231,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Albion JCT",ON_ALB_JCT,JCT,HONI,ON,45.370837,-75.646724,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Alford JCT",ON_ALF_JCT,JCT,HONI,ON,43.193108,-80.233804,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Algoma TS",ON_ALG_TSS,TSS,HONI,ON,46.200015,-82.718005,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Allanburg TS",ON_ALL_TSS,TSS,HONI,ON,43.072742,-79.187529,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Almonte TS",ON_ALM_DSS,DSS,HONI,ON,45.205969,-76.172881,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Allanburg Q30M JCT",ON_ALQ_JCT,JCT,HONI,ON,43.074283,-79.203237,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ","Location approximate"
"Alliston TS",ON_ALS_DSS,DSS,HONI,ON,44.258685,-79.851311,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Alliston JCT",ON_ALS_JCT,JCT,HONI,ON,44.258442,-79.849380,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Allanburg West JCT",ON_ALW_JCT,JCT,HONI,ON,43.073775,-79.213706,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Alexander GS",ON_ALX_GSS,GSS,HONI,ON,49.136056,-88.359427,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Alexander SWS",ON_ALX_SWS,SWS,HONI,ON,49.136819,-88.360216,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Amaranth TS",ON_AMA_ISS,ISS,HONI,ON,43.959126,-80.295168,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Amaranth JCT",ON_AMA_JCT,JCT,HONI,ON,43.958650,-80.295993,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ameristeel Cambridge TS",ON_AMC_ISS,ISS,HONI,ON,43.373088,-80.278914,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ameristeel Cambridge JCT",ON_AMC_JCT,JCT,HONI,ON,43.373228,-80.278314,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Anjigami JCT #2",ON_AN2_JCT,JCT,HONI,ON,47.884402,-84.545354,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Andrews TS",ON_AND_DSS,DSS,HONI,ON,47.238215,-84.643434,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Angler Switch JCT",ON_ANG_JCT,JCT,HONI,ON,48.776781,-86.410114,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Anjigami TS",ON_ANJ_DSS,DSS,HONI,ON,47.884277,-84.543881,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Anjigami JCT",ON_ANJ_JCT,JCT,HONI,ON,47.884119,-84.544830,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Animki JCT",ON_ANM_JCT,JCT,HONI,ON,48.715613,-85.822812,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ansonville JCT",ON_ANS_JCT,JCT,HONI,ON,48.753378,-80.679196,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ansonville TS",ON_ANS_TSS,TSS,HONI,ON,48.753641,-80.679933,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"AP North Bay JCT",ON_APB_JCT,JCT,HONI,ON,46.409757,-79.471792,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"AP Calstock GS",ON_APC_GSS,GSS,HONI,ON,49.745140,-84.073861,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"AP Calstock GS JCT",ON_APC_JCT,JCT,HONI,ON,49.742865,-84.077231,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"AP Kapuskasing JCT",ON_APK_JCT,JCT,HONI,ON,49.420298,-82.445245,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"AP Nipigon GS",ON_APN_GSS,GSS,HONI,ON,49.295164,-88.100635,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"AP Nipigon JCT",ON_APN_JCT,JCT,HONI,ON,49.291963,-88.097355,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Applewood JCT",ON_APP_JCT,JCT,HONI,ON,43.594177,-79.578563,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"AP Tunis JCT",ON_APT_JCT,JCT,HONI,ON,48.870497,-80.875514,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ardoch DS",ON_ARD_DSS,DSS,HONI,ON,44.936573,-76.943431,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ardoch JCT",ON_ARD_JCT,JCT,HONI,ON,44.935647,-76.943388,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Arlen MTS",ON_ARL_DSS,DSS,HONI,ON,43.486536,-80.205401,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Arlen MTS JCT",ON_ARL_JCT,JCT,HONI,ON,43.486133,-80.206256,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Armow GS",ON_ARM_GSS,GSS,HONI,ON,44.248913,-81.430568,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Armow JCT",ON_ARM_JCT,JCT,HONI,ON,44.252552,-81.428009,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Arnprior TS",ON_ARN_DSS,DSS,HONI,ON,45.415705,-76.291718,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Arnprior GS",ON_ARN_GSS,GSS,HONI,ON,45.418989,-76.346418,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Arnprior JCT",ON_ARN_JCT,JCT,HONI,ON,45.416363,-76.291943,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Arlanxeo Can Inc TS",ON_ARX_ISS,ISS,HONI,ON,42.939688,-82.403913,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Arlanxeo Can Inc JCT",ON_ARX_JCT,JCT,HONI,ON,42.940334,-82.403958,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ashfield SWS",ON_ASH_SWS,SWS,HONI,ON,43.896957,-81.624580,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"ASW Steel TS",ON_ASW_ISS,ISS,HONI,ON,42.999851,-79.232787,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"ASW Steel JCT",ON_ASW_JCT,JCT,HONI,ON,42.999670,-79.231749,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Armitage TS",ON_ATG_DSS,DSS,HONI,ON,44.041372,-79.456599,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Atikokan TGS",ON_ATK_GSS,GSS,HONI,ON,48.838492,-91.569996,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Atlantic Packaging TS",ON_ATP_ISS,ISS,HONI,ON,43.862566,-78.907279,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Atlantic Packaging JCT",ON_ATP_JCT,JCT,HONI,ON,43.862396,-78.907687,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
