name,node_code,node_type,owner,province,latitude,longitude,planning_region,sources,notes
"IPT Beauharnois",PP_ONQC1_IPT,IPT,"ON-QC Border",QC,45.214221,-74.355813,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"IPT Outaouais",PP_ONQC2_IPT,IPT,"ON-QC Border",QC,45.520620,-75.422937,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"IPT Masson",PP_ONQC3_IPT,IPT,"ON-QC Border",QC,45.520622,-75.422753,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"IPT Chats Falls",PP_ONQC4_IPT,IPT,"ON-QC Border",QC,45.516922,-76.210374,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"IPT Chenaux",PP_ONQC5_IPT,IPT,"ON-QC Border",QC,45.631508,-76.682252,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"IPT Kipawa",PP_ONQC6_IPT,IPT,"ON-QC Border",QC,46.382367,-78.727303,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"IPT Dymond",PP_ONQC7_IPT,IPT,"ON-QC Border",QC,47.630404,-79.517572,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"IPT Madawaska",PP_QCNB1_IPT,IPT,"QC-NB Border",QC,47.458768,-68.523122,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"IPT Matapédia",PP_QCNB2_IPT,IPT,"QC-NB Border",QC,47.992625,-66.851334,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"IPT Montagnais",PP_QCNL1_IPT,IPT,"QC-NL Border",QC,52.102162,-65.693168,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Junction 1646",QC_1646_JCT,JCT,"Hydro Québec",QC,48.519710,-71.217507,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Junction 1647",QC_1647_JCT,JCT,"Hydro Québec",QC,48.519450,-71.217529,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Alcoa-Aluminierie de Deschambault SENC",QC_AAD_ISS,ISS,"Hydro Québec",QC,46.698835,-71.944585,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
