name,node_code,node_type,owner,province,latitude,longitude,planning_region,sources,notes
Mcneill Station 840S,AB_840S_CSS,CSS,Altalink Management Ltd.,AB,50.599332,-110.0236,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Deer Hill 1012S,AB_1012S_DSS,DSS,Altalink Management Ltd.,AB,53.806344,-116.619471,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Shamrock 1018S,AB_1018S_DSS,DSS,Altalink Management Ltd.,AB,49.650996,-111.291014,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Cheviot 101S,AB_101S_DSS,DSS,Altalink Management Ltd.,AB,53.086399,-117.437862,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Vista 1029S,AB_1029S_DSS,DSS,Altalink Management Ltd.,AB,53.364501,-117.34157,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Langdon 102S,AB_102S_DSS,DSS,Altalink Management Ltd.,AB,50.95934,-113.719784,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Goose Lake 103S,AB_103S_DSS,DSS,Altalink Management Ltd.,AB,49.515549,-113.923193,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Watson Creek 104S,AB_104S_DSS,DSS,Altalink Management Ltd.,AB,53.276909,-117.74393,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Bilby 105S,AB_105S_DSS,DSS,Altalink Management Ltd.,AB,53.556955,-114.007614,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Paddle River 106S,AB_106S_DSS,DSS,Altalink Management Ltd.,AB,53.600612,-115.448577,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Westfield 107S,AB_107S_DSS,DSS,Altalink Management Ltd.,AB,49.670251,-111.493872,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Amelia 108S,AB_108S_DSS,DSS,Altalink Management Ltd.,AB,53.824834,-113.048779,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Coalbanks 111S,AB_111S_DSS,DSS,Altalink Management Ltd.,AB,49.686887,-112.853651,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Windy Point 112S,AB_112S_DSS,DSS,Altalink Management Ltd.,AB,49.583451,-113.843028,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Ghost Pine 114S,AB_114S_DSS,DSS,ATCO Electric Ltd.,AB,51.872348,-113.318052,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Mt. Allan 115S,AB_115S_DSS,DSS,Altalink Management Ltd.,AB,50.951755,-115.140335,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Canmore 118S,AB_118S_DSS,DSS,Altalink Management Ltd.,AB,51.079702,-115.319939,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Picture Butte 120S,AB_120S_DSS,DSS,Altalink Management Ltd.,AB,49.827779,-112.735101,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Banff 123S,AB_123S_DSS,DSS,Altalink Management Ltd.,AB,51.18859,-115.563615,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Bruderheim 127S,AB_127S_DSS,DSS,Altalink Management Ltd.,AB,53.80279,-112.871345,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Heartland 12S,AB_12S_DSS,DSS,Altalink Management Ltd.,AB,55.044133,-111.648976,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Moon Lake 131S,AB_131S_DSS,DSS,Altalink Management Ltd.,AB,53.424594,-114.985357,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Ware Junction 132S,AB_132S_DSS,DSS,Altalink Management Ltd.,AB,50.872395,-111.91961,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Stelco Edmonton East 133S,AB_133S_DSS,DSS,Altalink Management Ltd.,AB,53.529609,-113.384168,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Conrad 135S,AB_135S_DSS,DSS,Altalink Management Ltd.,AB,49.524717,-111.967829,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Sedgewick 137S,AB_137S_DSS,DSS,Altalink Management Ltd.,AB,52.771079,-111.711994,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Windy Flats 138S,AB_138S_DSS,DSS,Altalink Management Ltd.,AB,49.641708,-113.491982,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Hillridge 139S,AB_139S_DSS,DSS,Altalink Management Ltd.,AB,49.69313,-112.329035,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Deerland 13S,AB_13S_DSS,DSS,Altalink Management Ltd.,AB,53.857352,-112.895054,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Thompson 140S,AB_140S_DSS,DSS,Altalink Management Ltd.,AB,54.774763,-111.834716,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Magcan 142S,AB_142S_DSS,DSS,Altalink Management Ltd.,AB,50.654656,-113.871584,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Macdonald 146S,AB_146S_DSS,DSS,Altalink Management Ltd.,AB,49.713208,-112.780012,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Nisku 149S,AB_149S_DSS,DSS,Altalink Management Ltd.,AB,53.308277,-113.51214,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Devon 14S,AB_14S_DSS,DSS,Altalink Management Ltd.,AB,53.354957,-113.718841,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Clyde 150S,AB_150S_DSS,DSS,Altalink Management Ltd.,AB,54.144286,-113.624893,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Black Spruce 154S,AB_154S_DSS,DSS,Altalink Management Ltd.,AB,55.56945,-110.855177,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Blackmud 155S,AB_155S_DSS,DSS,Altalink Management Ltd.,AB,53.354935,-113.511138,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Lac La Biche 157S,AB_157S_DSS,DSS,Altalink Management Ltd.,AB,54.733703,-111.979334,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Vauxhall 158S,AB_158S_DSS,DSS,Altalink Management Ltd.,AB,50.106923,-112.116642,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Colinton 159S,AB_159S_DSS,DSS,Altalink Management Ltd.,AB,54.618233,-113.309407,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
