name,node_code,node_type,owner,province,latitude,longitude,planning_region,sources,notes
"AA Lambert",BC_AAL_DSS,DSS,"BC Hydro",BC,49.140156,-116.538111,"British Columbia","name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Albreda,BC_ABA_DSS,DSS,"BC Hydro",BC,52.660152,-119.192804,"British Columbia","name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Albreda JCT",BC_ABA_JCT,JCT,"BC Hydro",BC,52.664031,-119.183309,"British Columbia","name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Abbotsford,BC_ABB_DSS,DSS,"BC Hydro",BC,49.067847,-122.297780,"British Columbia","name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Aberfeldie GS",BC_ABN_GSS,GSS,"BC Hydro",BC,49.493319,-115.362424,"British Columbia","name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ashton Creek",BC_ACK_DSS,DSS,"BC Hydro",BC,50.561355,-118.993459,"British Columbia","name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Afton Mine",BC_AFN_ISS,ISS,"BC Hydro",BC,50.661930,-120.499705,"British Columbia","name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Afton Mine JCT",BC_AFN_JCT,JCT,"BC Hydro",BC,50.669818,-120.499206,"British Columbia","name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Apollo Forest Products",BC_AFP_ISS,ISS,"BC Hydro",BC,54.490913,-124.201793,"British Columbia","name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Apollo Forest Products JCT",BC_AFP_JCT,JCT,"BC Hydro",BC,54.473284,-124.190266,"British Columbia","name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Ashcroft,BC_AFT_DSS,DSS,"BC Hydro",BC,50.736544,-121.282483,"British Columbia","name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ashcroft JCT",BC_AFT_JCT,JCT,"BC Hydro",BC,50.736757,-121.282152,"British Columbia","name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Arrow Lakes GS",BC_ALH_GSS,GSS,FortisBC,BC,49.343024,-117.768849,"British Columbia","name:188, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Alouette GS",BC_ALU_GSS,GSS,"BC Hydro",BC,49.371009,-122.312429,"British Columbia","name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Atchelitz,BC_ALZ_DSS,DSS,"BC Hydro",BC,49.113555,-122.009320,"British Columbia","name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
