name,node_code,node_type,owner,province,latitude,longitude,planning_region,sources,notes
"IPT McNeill",PP_ABSK1_IPT,IPT,"AB-SK Border",SK,50.589380,-110.003956,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"IPT Island Falls",PP_MBSK1_IPT,IPT,"MB-SK Border",SK,54.794729,-101.885937,Manitoba,"name:367, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"IPT EB Campbell",PP_MBSK2_IPT,IPT,"MB-SK Border",SK,53.722668,-101.769565,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"IPT Boundary Dam",PP_MBSK3_IPT,IPT,"MB-SK Border",SK,49.495283,-101.393102,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"IPT Tantallon",PP_MBSK4_IPT,IPT,"MB-SK Border",SK,50.544463,-101.474715,Saskatachewan,"name:361, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"IPT Yorkton",PP_MBSK5_IPT,IPT,"MB-SK Border",SK,51.202531,-101.538936,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Assiniboia,SK_ASS_DSS,DSS,Saskpower,SK,49.611311,-105.961705,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Bone Creek",SK_BCK_DSS,DSS,Saskpower,SK,49.918914,-108.117279,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Boundary Dam",SK_BDM_GSS,GSS,Saskpower,SK,49.096100,-103.030500,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Battleford,SK_BFD_GSS,GSS,Saskpower,SK,52.758240,-108.280284,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Belle Plain",SK_BLP_DSS,DSS,Saskpower,SK,50.393647,-105.155663,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Brada,SK_BRA_DSS,DSS,Saskpower,SK,52.702233,-108.172683,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Beatty,SK_BTY_DSS,DSS,Saskpower,SK,52.911018,-104.844212,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Coteau Creek",SK_CCK_GSS,GSS,Saskpower,SK,51.274769,-106.873648,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Codette,SK_CDT_DSS,DSS,Saskpower,SK,53.287725,-104.037682,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Chaplin,SK_CHP_DSS,DSS,Saskpower,SK,50.458463,-106.655265,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Condie,SK_CND_DSS,DSS,Saskpower,SK,50.519458,-104.756747,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Cory,SK_CRY_GSS,GSS,Saskpower,SK,52.092700,-106.853300,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
"EB Campbell",SK_EBC_GSS,GSS,Saskpower,SK,53.688980,-103.347519,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
