,SK_LDM_DSS,SK_RUC_DSS,SK_BCK_DSS,SK_MDL_GSS,SK_LMS_DSS,SK_BTY_DSS,PP_MBSK5_IPT,SK_MRS_GSS,SK_NIP_GSS,SK_PQA_DSS,SK_TSD_DSS,SK_BDM_GSS,SK_SNT_DSS,SK_LDS_GSS,SK_URC_DSS,SK_QEB_GSS,SK_KDY_DSS,SK_KLK_DSS,SK_BRA_DSS,SK_CND_DSS,SK_WEY_DSS,SK_CHP_DSS,SK_CCK_GSS,PP_MBSK2_IPT,SK_YKT_DSS,PP_MBSK3_IPT,SK_SHD_GSS,XX_SKUS1_INT,SK_TTL_DSS,SK_SWC_DSS,PP_MBSK1_IPT,SK_ASS_DSS,SK_CDT_DSS,PP_ABSK1_IPT,SK_CRY_GSS,SK_BLP_DSS,SK_REG_DSS,SK_ERM_GSS,SK_ISF_GSS,SK_HWD_DSS,SK_PRA_DSS,SK_WLV_DSS,SK_PBL_DSS,PP_MBSK4_IPT,SK_PPR_GSS,SK_EBC_GSS,SK_BFD_GSS,SK_RVH_GSS
SK_ASS_DSS,5.0,1.0,3.0,5.0,2.0,4.0,5.0,3.0,6.0,1.0,5.0,3.0,5.0,5.0,inf,3.0,4.0,inf,4.0,2.0,3.0,2.0,3.0,6.0,4.0,4.0,4.0,4.0,5.0,2.0,inf,0.0,5.0,3.0,4.0,2.0,2.0,4.0,inf,2.0,5.0,3.0,3.0,6.0,1.0,5.0,4.0,2.0
SK_PQA_DSS,4.0,2.0,2.0,4.0,1.0,3.0,5.0,2.0,5.0,0.0,4.0,2.0,4.0,4.0,inf,2.0,3.0,inf,3.0,2.0,2.0,1.0,2.0,5.0,4.0,3.0,3.0,3.0,4.0,1.0,inf,1.0,4.0,2.0,3.0,1.0,1.0,3.0,inf,1.0,4.0,3.0,3.0,5.0,1.0,4.0,3.0,1.0
SK_RUC_DSS,4.0,0.0,2.0,4.0,3.0,4.0,6.0,2.0,6.0,2.0,5.0,4.0,5.0,4.0,inf,3.0,5.0,inf,3.0,3.0,4.0,3.0,2.0,6.0,5.0,5.0,5.0,5.0,6.0,1.0,inf,1.0,5.0,2.0,4.0,3.0,3.0,3.0,inf,3.0,5.0,4.0,4.0,7.0,2.0,5.0,4.0,3.0
SK_BDM_GSS,5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,6.0,2.0,5.0,0.0,5.0,5.0,inf,3.0,1.0,inf,5.0,2.0,1.0,3.0,4.0,6.0,2.0,1.0,1.0,1.0,2.0,3.0,inf,3.0,5.0,4.0,4.0,2.0,1.0,5.0,inf,3.0,5.0,3.0,1.0,3.0,3.0,5.0,4.0,3.0
XX_SKUS1_INT,6.0,5.0,5.0,6.0,4.0,5.0,4.0,5.0,7.0,3.0,6.0,1.0,6.0,6.0,inf,4.0,2.0,inf,6.0,3.0,2.0,4.0,5.0,7.0,3.0,2.0,2.0,0.0,3.0,4.0,inf,4.0,6.0,5.0,5.0,3.0,2.0,6.0,inf,4.0,6.0,4.0,2.0,4.0,4.0,6.0,5.0,4.0
SK_KDY_DSS,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,6.0,3.0,5.0,1.0,5.0,5.0,inf,3.0,0.0,inf,5.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,4.0,inf,4.0,5.0,5.0,4.0,3.0,2.0,5.0,inf,4.0,5.0,3.0,1.0,2.0,3.0,5.0,4.0,4.0
SK_BRA_DSS,1.0,3.0,3.0,1.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,5.0,4.0,2.0,inf,2.0,5.0,inf,0.0,3.0,5.0,4.0,1.0,5.0,4.0,6.0,5.0,6.0,5.0,2.0,inf,4.0,4.0,3.0,3.0,4.0,4.0,2.0,inf,2.0,4.0,3.0,4.0,6.0,4.0,4.0,1.0,2.0
SK_LDM_DSS,0.0,4.0,4.0,2.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,2.0,inf,2.0,5.0,inf,1.0,3.0,5.0,5.0,2.0,5.0,4.0,6.0,5.0,6.0,5.0,3.0,inf,5.0,4.0,4.0,3.0,5.0,4.0,1.0,inf,3.0,4.0,3.0,4.0,6.0,4.0,4.0,1.0,3.0
SK_BTY_DSS,3.0,4.0,4.0,3.0,4.0,0.0,3.0,4.0,2.0,3.0,1.0,4.0,1.0,3.0,inf,1.0,4.0,inf,3.0,2.0,4.0,4.0,2.0,2.0,2.0,5.0,4.0,5.0,3.0,3.0,inf,4.0,1.0,4.0,2.0,4.0,3.0,3.0,inf,2.0,1.0,1.0,3.0,4.0,3.0,1.0,2.0,3.0
SK_PRA_DSS,4.0,5.0,5.0,4.0,5.0,1.0,4.0,5.0,3.0,4.0,2.0,5.0,1.0,4.0,inf,2.0,5.0,inf,4.0,3.0,5.0,5.0,3.0,3.0,3.0,6.0,5.0,6.0,4.0,4.0,inf,5.0,2.0,5.0,3.0,5.0,4.0,4.0,inf,3.0,0.0,2.0,4.0,5.0,4.0,2.0,3.0,4.0
