transmission_line_id,circuit_id,province,operating_region,owner,number_of_circuits,current,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage_in_kv,reactance_in_ohm,summer_ampacity,winter_ampacity,summer_rating_in_mva,winter_rating_in_mva,power_factor,smax,summer_capacity_in_mw,winter_capacity_in_mw,starting_node_name,starting_node_code,ending_node_name,ending_node_code,notes,sources
15229,1.80L,AB,Alberta,"ENMAX Power Corporation",1,ac,16.150,9.969,16.150,9.969,138,NULL,NULL,160,199,1,NULL,NULL,144,179,NULL,AB_SS01_DSS,NULL,AB_SS28_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15230,1.81L,AB,Alberta,"ENMAX Power Corporation",1,ac,7.650,4.722,7.650,4.722,138,NULL,NULL,160,177,1,NULL,NULL,144,159,NULL,AB_SS01_DSS,NULL,AB_SS20_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15231,1.82L,AB,Alberta,"ENMAX Power Corporation",1,ac,3.400,2.099,3.400,2.099,138,NULL,NULL,226,228,1,NULL,NULL,203,205,NULL,AB_SS01_DSS,NULL,AB_SS05_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15232,1.83L,AB,Alberta,"ENMAX Power Corporation",1,ac,4.250,2.623,4.250,2.623,138,NULL,NULL,218,232,1,NULL,NULL,196,209,NULL,AB_SS01_DSS,NULL,AB_SS08_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15233,1.84L,AB,Alberta,"ENMAX Power Corporation",1,ac,3.400,2.099,3.400,2.099,138,NULL,NULL,226,228,1,NULL,NULL,203,205,NULL,AB_SS01_DSS,NULL,AB_SS05_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15234,1.85L,AB,Alberta,"ENMAX Power Corporation",1,ac,4.250,2.623,4.250,2.623,138,NULL,NULL,218,232,1,NULL,NULL,196,209,NULL,AB_SS01_DSS,NULL,AB_SS08_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15235,1002L,AB,Alberta,"Altalink Management Ltd.",1,ac,85.000,52.469,85.000,52.469,240,NULL,NULL,550,679,1,NULL,NULL,495,611,NULL,AB_163S_ISS,NULL,AB_275S_GSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:19, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15236,1003L,AB,Alberta,"Altalink Management Ltd.",1,ac,7.000,4.321,7.000,4.321,240,NULL,NULL,973,1039,1,NULL,NULL,876,935,NULL,AB_SS25_GSS,NULL,AB_74S_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:19, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15237,1005L,AB,Alberta,"Altalink Management Ltd.",1,ac,54.000,33.330,84.000,51.852,240,40.06,NULL,NULL,481,581,0.90,NULL,433,523,"Little Bow 991S JCT",AB_991S_JCT,"Picture Butte 120S",AB_120S_DSS,"AESO. 2019. Claresholm Connection Assessment","circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:19, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15238,100L,AB,Alberta,"Altalink Management Ltd.",1,ac,45.000,27.778,45.000,27.778,138,NULL,NULL,78,86,1,NULL,NULL,70,77,NULL,AB_498S_DSS,NULL,AB_895S_GSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
