transmission_line_id,circuit_id,province,operating_region,owner,number_of_circuits,current,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage_in_kv,reactance_in_ohm,summer_ampacity,winter_ampacity,summer_rating_in_mva,winter_rating_in_mva,power_factor,smax,summer_capacity_in_mw,winter_capacity_in_mw,starting_node_name,starting_node_code,ending_node_name,ending_node_code,notes,sources
13811,A3R,MB,Manitoba,"Manitoba Hydro",1,ac,170.000,104.938,170.000,104.938,230,NULL,NULL,NULL,NULL,NULL,NULL,1.97,264,286,NULL,MB_ASH_DSS,NULL,MB_RSR_DSS,NULL,"circuit_id:210, owner:None, planning_rgn:None, num_of_circuits:210, current:210, line_segment_length_km:210, line_segment_length_mi:210, line_length_km:210, line_length_mi:210, voltage:210, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:210, ending_node_code:None, other_references:None, notes:None"
13812,A4D,MB,Manitoba,"Manitoba Hydro",1,ac,171.526,105.880,171.526,105.880,230,NULL,NULL,NULL,NULL,NULL,NULL,1.96,262,284,NULL,MB_ASH_DSS,NULL,MB_DSY_DSS,NULL,"circuit_id:219, owner:None, planning_rgn:None, num_of_circuits:219, current:219, line_segment_length_km:219, line_segment_length_mi:219, line_length_km:219, line_length_mi:219, voltage:219, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:219, ending_node_code:None, other_references:None, notes:None"
13813,A6V,MB,Manitoba,"Manitoba Hydro",1,ac,130.572,80.600,130.572,80.600,230,NULL,NULL,NULL,NULL,NULL,NULL,2.34,314,340,NULL,MB_ASH_DSS,NULL,MB_VML_DSS,NULL,"circuit_id:219, owner:None, planning_rgn:None, num_of_circuits:219, current:219, line_segment_length_km:219, line_segment_length_mi:219, line_length_km:219, line_length_mi:219, voltage:219, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:219, ending_node_code:None, other_references:None, notes:None"
13814,B69R,MB,Manitoba,"Manitoba Hydro",1,ac,32.287,19.930,32.287,19.930,230,NULL,NULL,NULL,NULL,NULL,NULL,3.00,402,435,NULL,MB_BTS_DSS,NULL,MB_RVL_DSS,NULL,"circuit_id:219, owner:None, planning_rgn:None, num_of_circuits:219, current:219, line_segment_length_km:219, line_segment_length_mi:219, line_length_km:219, line_length_mi:219, voltage:219, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:219, ending_node_code:None, other_references:None, notes:None"
13815,B70H,MB,Manitoba,"Manitoba Hydro",1,ac,57.299,35.370,57.299,35.370,230,NULL,NULL,NULL,NULL,NULL,NULL,3.00,402,435,NULL,MB_BTS_DSS,NULL,MB_VDW_DSS,NULL,"circuit_id:219, owner:None, planning_rgn:None, num_of_circuits:219, current:219, line_segment_length_km:219, line_segment_length_mi:219, line_length_km:219, line_length_mi:219, voltage:219, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:219, ending_node_code:None, other_references:None, notes:None"
13816,B71T,MB,Manitoba,"Manitoba Hydro",1,ac,46.200,28.519,46.200,28.519,230,NULL,NULL,NULL,NULL,NULL,NULL,3.00,402,435,NULL,MB_BTS_DSS,NULL,PP_MBSK4_IPT,NULL,"circuit_id:224, owner:None, planning_rgn:None, num_of_circuits:224, current:224, line_segment_length_km:224, line_segment_length_mi:224, line_length_km:224, line_length_mi:224, voltage:224, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:224, ending_node_code:None, other_references:None, notes:None"
13817,B77W,MB,Manitoba,"Manitoba Hydro",1,ac,4.050,2.500,4.050,2.500,230,NULL,NULL,NULL,NULL,NULL,NULL,3.00,402,435,NULL,MB_BCT_DSS,NULL,MB_MYS_DSS,NULL,"circuit_id:219, owner:None, planning_rgn:None, num_of_circuits:219, current:219, line_segment_length_km:219, line_segment_length_mi:219, line_length_km:219, line_length_mi:219, voltage:219, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:219, ending_node_code:None, other_references:None, notes:None"
13818,BD52,MB,Manitoba,"Manitoba Hydro",1,ac,8.813,5.440,8.813,5.440,115,NULL,NULL,NULL,NULL,NULL,NULL,3.00,98,108,NULL,MB_BDN_GSS,NULL,MB_CRP_DSS,NULL,"circuit_id:219, owner:None, planning_rgn:None, num_of_circuits:219, current:219, line_segment_length_km:219, line_segment_length_mi:219, line_length_km:219, line_length_mi:219, voltage:219, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:219, ending_node_code:None, other_references:None, notes:None"
13819,BE1,MB,Manitoba,"Manitoba Hydro",1,ac,1.814,1.120,1.814,1.120,115,NULL,NULL,NULL,NULL,NULL,NULL,3.00,98,108,NULL,MB_BDN_GSS,NULL,MB_VCT_DSS,NULL,"circuit_id:219, owner:None, planning_rgn:None, num_of_circuits:219, current:219, line_segment_length_km:219, line_segment_length_mi:219, line_length_km:219, line_length_mi:219, voltage:219, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:219, ending_node_code:None, other_references:None, notes:None"
13820,BE2,MB,Manitoba,"Manitoba Hydro",1,ac,1.814,1.120,1.814,1.120,115,NULL,NULL,NULL,NULL,NULL,NULL,3.00,98,108,NULL,MB_BDN_GSS,NULL,MB_VCT_DSS,NULL,"circuit_id:219, owner:None, planning_rgn:None, num_of_circuits:219, current:219, line_segment_length_km:219, line_segment_length_mi:219, line_length_km:219, line_length_mi:219, voltage:219, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:219, ending_node_code:None, other_references:None, notes:None"
