transmission_line_id,circuit_id,province,operating_region,owner,number_of_circuits,current,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage_in_kv,reactance_in_ohm,summer_ampacity,winter_ampacity,summer_rating_in_mva,winter_rating_in_mva,power_factor,smax,summer_capacity_in_mw,winter_capacity_in_mw,starting_node_name,starting_node_code,ending_node_name,ending_node_code,notes,sources
9447,A1P,SK,Saskatchewan,Saskpower,1,ac,110.000,67.901,110.000,67.901,138,NULL,NULL,NULL,NULL,NULL,NULL,2.63,123,137,NULL,SK_ASS_DSS,NULL,SK_PQA_DSS,NULL,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9448,A1R,SK,Saskatchewan,Saskpower,1,ac,120.000,74.074,120.000,74.074,230,NULL,NULL,NULL,NULL,NULL,NULL,2.48,332,359,NULL,SK_ASS_DSS,NULL,SK_RUC_DSS,"A1R + R1S previously referred to as A1S","circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9449,B10T,SK,Saskatchewan,Saskpower,1,ac,10.000,6.173,10.000,6.173,230,NULL,NULL,NULL,NULL,NULL,NULL,3.00,150,150,NULL,SK_BDM_GSS,NULL,XX_SKUS1_INT,"Reported capacities are export capacities only","circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:169, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:370, notes:None"
9450,B1K,SK,Saskatchewan,Saskpower,1,ac,140.000,86.420,140.000,86.420,230,NULL,NULL,NULL,NULL,NULL,NULL,2.24,300,325,NULL,SK_BDM_GSS,NULL,SK_KDY_DSS,NULL,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9451,B1L,SK,Saskatchewan,Saskpower,1,ac,150.000,92.593,150.000,92.593,230,NULL,NULL,NULL,NULL,NULL,NULL,2.14,287,310,NULL,SK_BRA_DSS,NULL,SK_LDM_DSS,NULL,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9452,B1P,SK,Saskatchewan,Saskpower,1,ac,65.000,40.123,65.000,40.123,138,NULL,NULL,NULL,NULL,NULL,NULL,3.00,141,156,NULL,SK_BTY_DSS,NULL,SK_PRA_DSS,NULL,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9453,B1Q,SK,Saskatchewan,Saskpower,1,ac,180.000,111.111,180.000,111.111,230,NULL,NULL,NULL,NULL,NULL,NULL,1.90,254,275,NULL,SK_QEB_GSS,NULL,SK_BTY_DSS,NULL,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9454,B1W,SK,Saskatchewan,Saskpower,1,ac,130.000,80.247,130.000,80.247,138,NULL,NULL,NULL,NULL,NULL,NULL,2.35,111,122,NULL,SK_WLV_DSS,NULL,SK_BTY_DSS,NULL,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9455,B2N,SK,Saskatchewan,Saskpower,1,ac,5.000,3.086,5.000,3.086,138,NULL,NULL,NULL,NULL,NULL,NULL,3.00,141,156,NULL,SK_BRA_DSS,NULL,SK_BFD_GSS,NULL,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9456,B2P,SK,Saskatchewan,Saskpower,1,ac,65.000,40.123,65.000,40.123,138,NULL,NULL,NULL,NULL,NULL,NULL,3.00,141,156,NULL,SK_BTY_DSS,NULL,SK_PRA_DSS,NULL,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
