bus,Total Capacity,Max Demand,Capacity/Demand
SEL - Selkirk,23930.990972109073,190.3020531776097,125.75266831080471
GLN - Glenannan,11911.175619768768,114.66414295829016,103.87881784544919
CKY - Cheekye,8600.109132930886,90.6819813294267,94.8381255774361
KLY - Kelly Lake,16772.78882690649,187.56071600428774,89.42591596058449
ACK - Ashton Creek,30253.080615080613,510.4696598640281,59.265188499428184
GMS - GM Shrum GS,9363.749489959344,158.33104197702602,59.140326325383704
TKW - Telkwa,6705.7858237850305,114.66414295829016,58.48197745850074
PCN - Peace Canyon GS,7202.559693975606,125.69521112553463,57.30178285616823
MSA - Malaspina,4778.689642971541,90.6819813294267,52.697234587449785
MCA - Mica GS,7556.909489959344,155.4211095417862,48.622156361119075
NIC - Nicola,31426.58056407655,802.8123916653811,39.14560972194785
REV - Revelstoke GS,22410.431176125334,698.4630593294472,32.085349220387194
CBK - Cranbrook,5021.839693975607,182.87381613510914,27.460681906836886
VAS - Vaseux Lake,11783.769285943083,502.4090393014124,23.454532789314715
KDY - Kennedy Capacitor Station,9363.749489959342,411.64754103940857,22.7470069815452
SKA - Skeena,5147.906027801293,360.42229736398576,14.282984336572524
WSN - Williston,10206.489438955277,3823.336298963573,2.669524373705249
MDN - Meridian,10663.749234939016,4919.4731600233035,2.1676608222187155
ING - Ingledow,8328.349489959342,4919.4731600233035,1.692935243073852
CBN - Clayburn,4133.469591967475,4919.4731600233035,0.8402260684247528
DMR - Dunsmuir,3277.299744979672,4696.043711273256,0.697885272471428
