bus,Total Capacity,Max Demand,Capacity/Demand
KEEWATINOHK CS,5373.806141718933,14.139594876185987,380.0537560499373
RADISSON CS,4310.806141718933,14.139594876185987,304.87479871005536
LONG SPRUCE GS,4023.806141718933,14.139594876185987,284.5771874621286
DORSEY,8903.528516668965,36.68674007767518,242.69064239062737
MYSTERY LAKE,2538.0,14.139594876185987,179.49594894508039
LIMESTONE GS,2476.806141718933,14.139594876185987,175.16811219891375
LAVERENDRYE,7942.055933068474,47.387778084865595,167.59713694204532
RIDGEWAY,8208.055933068474,58.150876793009076,141.15102618805653
NEEPAWA,7160.476464221968,52.650624034733475,135.99984037222848
DORSEY CS,4680.806141718933,36.68674007767518,127.5885001449699
ASHERN,9253.208717658523,78.13619566277598,118.42410088141449
RAVEN LAKE,4777.994685738026,52.650624034733475,90.74906087696124
ST LEON GS,7160.476464221968,98.3711364630429,72.79042127272862
BIRTLE SOUTH,3317.601204329005,52.650624034733475,63.01162170728295
MINITONAS,2723.392247308237,47.387778084865595,57.47035116166412
ROBLIN SOUTH,2723.392247308237,48.50585579251184,56.14563855872974
ROCKWOOD,5633.6924718482505,114.82293574045116,49.064173769104805
OVERFLOWING RIVER,1959.9726532533496,43.310488541299264,45.2539954931331
BIRCHTREE,2424.0,58.150876793009076,41.68466811993821
KELSEY TERMINAL,2414.0,72.29047166919506,33.39305919937262
VIRDEN WEST,3259.8680137938436,101.1564798272453,32.22599302942367
CORNWALLIS,6572.92411689807,223.47940202334814,29.411767068409105
PORTAGE SOUTH,7160.476464221969,257.73415069605676,27.782412400079046
GLENBORO SOUTH,5563.23700150378,223.47940202334814,24.893734953356272
HENDAY CS,5373.806141718933,223.47940202334814,24.0460914655459
GRAND RAPIDS GS,2724.3922473082366,124.66911221927556,21.852985064306957
PONTON,1101.0,58.150876793009076,18.933506435665002
STANLEY,3004.836044820713,178.13076125551135,16.868709388776296
RALLS ISLAND,700.0,43.310488541299264,16.1623667517051
SILVER,2537.558324630021,159.49481934075226,15.909973346586648
RESTON,3222.028946889408,231.4273091254023,13.92242323978932
VERMILLION,2724.3922473082366,218.7393435972229,12.45497130285265
WUSKWATIM GS,507.0,58.150876793009076,8.718699148848462
LETELLIER,3004.836044820713,550.352128852578,5.45984268487424
CLIFF LAKE,220.0,43.310488541299264,5.079600979107317
ROSSER,8745.789123603636,1983.4033597562684,4.409485887267211
RIEL,7268.73707115664,1782.3237333969084,4.078236144734069
HERBLET LAKE,334.0,101.46136533430834,3.291893410851437
ST VITAL,7268.73707115664,2345.828002417175,3.0985805709825396
JENPEG GS,124.0,58.150876793009076,2.132384012736113
RICHER SOUTH,452.0,671.4475297874491,0.6731724817620275
RIEL CS,1126.8061417189326,1782.3237333969084,0.6322118258344498
ST JOSEPH GS,0.0,178.13076125551135,0.0
