bus,Total Capacity,Max Demand,Capacity/Demand
Ashfield SS,5629.87,64.02000000000001,87.9392377382068
Bruce JCT,7410.433,86.13000000000001,86.03776848949262
Nanticoke TS,9033.17,106.0,85.21858490566038
Bruce A TS,4142.433,86.13000000000001,48.09512365029606
Bowmanville SS,11516.900000000001,268.775,42.849595386475684
Bruce B SS,3268.0,86.13000000000001,37.94264483919656
Lennox TS,11425.0,342.0,33.40643274853801
Clarington JCT,7367.1,268.775,27.409915356711007
Nobel SS,3412.9,135.0,25.280740740740743
Napanee CSS,4149.8,226.0,18.361946902654868
Willow Creek JCT,9463.033,521.5,18.145796740172578
Porcupine TS,5254.4,296.5,17.721416526138277
Parkway JCT,6216.900000000001,634.695,9.795098433105665
Cherrywood TS,9740.900000000001,1856.685,5.246393437766773
Claireville TS,8285.0,1856.685,4.462253963380972
Essa TS,1963.3,463.0,4.240388768898488
Hanmer TS,5254.4,1368.0,3.8409356725146195
Longwood TS,5851.87,1822.5,3.2109026063100137
Hawthorne TS,7901.0,2522.0,3.132831086439334
Evergreen SS,5581.87,1951.335,2.860539066843981
Middleport TS,5233.9,2266.0,2.3097528684907322
K2 Wind 500 CGS,270.0,138.02,1.956238226344008
Milton SS,6689.700000000001,3546.06,1.886516302600633
Parkway TS,918.0,578.485,1.5869037226548657
Trafalgar TS,1560.6,3447.5,0.452675852066715
Parkhill CTS,222.0,551.12,0.40281608361155463
Clarington TS,0.0,268.775,0.0
