province,max aggregation distance,bus,Total Capacity,Max Demand,Capacity/Demand
AB,1,KEEPHILLS320P,12275.30108,65.28456898,188.0276039
AB,1,BENALTO17S,4872.60775,46.51338876,104.7571007
AB,1,AMELIA108S,6844.657215,87.05530446,78.62424073
AB,1,WESLEYCREEK834S,4133.889407,61.77305219,66.920595
AB,1,WHITEFISHLAKE825S,11128.57727,186.9985776,59.51156106
AB,1,SUNNYBROOK510S,2630.972637,46.51338876,56.5637703
AB,1,LOUISECREEK809S,7091.444811,127.4193598,55.65437484
AB,1,SUNDANCE310P,7892.263153,144.4257549,54.6458155
AB,1,HEARTLAND12S,14247.35054,274.0538821,51.98740639
AB,1,SAGITAWAH77S,2010.103602,40.36405531,49.79934713
AB,1,GENESEE330,8872.962412,261.561753,33.92301172
AB,1,LEISMER72S,2067.003602,65.96257813,31.33600385
AB,1,WABASCA720S,1932.103602,61.77305219,31.27745083
AB,1,MITSUE732S,2028.916941,87.05530446,23.30606909
AB,1,HEATHFIELD2029S,29821.82419,1304.930904,22.85318257
AB,1,NORTHBARRHEAD69S,2028.916941,102.1371075,19.86464068
AB,1,HEARTLAKE898S,4283.920056,252.9611558,16.93509046
AB,1,BRINTNELL876S,984.6518012,61.77305219,15.93982758
AB,1,BICKERDIKE39S,1009.551801,65.28456898,15.46386561
AB,1,NEWELL2075S89S,29821.82419,3123.841774,9.546521991
AB,1,DEERLAND13S,9061.573669,1217.875599,7.44047559
AB,1,EASTEDMONTON38S,7402.693326,1217.875599,6.078365746
AB,1,CLOVERBAR987S,7402.693326,1217.875599,6.078365746
AB,1,DOME,7402.693326,1217.875599,6.078365746
AB,1,PETROLIA,7402.693326,1264.388988,5.85475941
AB,1,ELLERSLIE89S,8872.962412,2173.061659,4.083161826
AB,1,LITTLESMOKY813S,4133.889407,1381.894972,2.991464252
AB,1,CHERHILL338S,96.81333817,65.28456898,1.482943668
AB,1,SARCEE42S,4934.60775,3545.386494,1.391839157
AB,1,LANGDON102S,2452.99856,5202.972421,0.471460996
AB,1,BENNETT520S,1230.29501,3340.516736,0.36829482
AB,1,CROSSINGS511S,1160.703551,3545.386494,0.327384208
AB,1,JASPER805S,177.7414774,1217.875599,0.145943869
AB,1,POUNDMAKER,177.7414774,1217.875599,0.145943869
AB,1,NORTHCALDER37S,177.7414774,1304.930904,0.136207578
AB,1,EASTCALGARY5S,62,3340.516736,0.018560003
AB,1,SALTCREEK977S,0,65.96257813,0
AB,1,RUTHLAKE848S,0,65.96257813,0
AB,1,THICKWOODHILLS951S,0,61.77305219,0
AB,1,ROUNDHILL852S,0,252.9611558,0
AB,1,WABAMUN19S,0,152.3398734,0
AB,1,BIRCHWOODCREEK960S,0,226.6794975,0
AB,1,MCMILLAN885S,0,127.7356303,0
AB,1,LIVOCK939S,0,61.77305219,0
AB,1,BLACKFLY934S,0,127.7356303,0
AB,1,LAMOUREUX71S,0,1217.875599,0
AB,1,KINOSIS856S,0,65.96257813,0
AB,1,BANNERMAN681S,0,87.05530446,0
AB,1,JOSEPHBURG410S,0,1760.867983,0
AB,1,DOVER888S,0,127.7356303,0
AB,1,DAWES2011S,0,127.7356303,0
AB,1,CASTLEDOWNS,0,1217.875599,0
AB,1,KETTLERIVER2049S,0,65.96257813,0
AB,2,BENALTO17S,15356.95648,46.51338876,330.1620649
AB,2,SAGITAWAH77S,12973.60436,40.36405531,321.41479
AB,2,SUNNYBROOK510S,14906.27371,46.51338876,320.4727523
AB,2,KEEPHILLS320P,14906.27371,65.28456898,228.3276729
AB,2,HEARTLAND12S,47756.36027,274.0538821,174.2590176
AB,2,BANNERMAN681S,14247.35054,87.05530446,163.6586148
AB,2,CHERHILL338S,9921.180094,65.28456898,151.9682254
AB,2,BICKERDIKE39S,7892.263153,65.28456898,120.8901778
AB,2,SUNDANCE310P,15569.51129,144.4257549,107.8028729
AB,2,AMELIA108S,9061.573669,87.05530446,104.089851
AB,2,BRINTNELL876S,6065.99301,61.77305219,98.19804583
AB,2,MITSUE732S,7188.258149,87.05530446,82.57116776
AB,2,WESLEYCREEK834S,4133.889407,61.77305219,66.920595
AB,2,LEISMER72S,4283.920056,65.96257813,64.94470316
AB,2,LOUISECREEK809S,8172.90995,127.4193598,64.14182244
AB,2,WHITEFISHLAKE825S,11128.57727,186.9985776,59.51156106
AB,2,LIVOCK939S,3615.624439,61.77305219,58.53077209
AB,2,WABAMUN19S,8070.004631,152.3398734,52.97368607
AB,2,WABASCA720S,3013.568742,61.77305219,48.78452068
AB,2,HEARTLAKE898S,11128.57727,252.9611558,43.99322591
AB,2,GENESEE330,10033.66596,261.561753,38.36060069
AB,2,HEATHFIELD2029S,44069.17473,1304.930904,33.77127065
AB,2,KETTLERIVER2049S,2067.003602,65.96257813,31.33600385
AB,2,NORTHBARRHEAD69S,2028.916941,102.1371075,19.86464068
AB,2,MCMILLAN885S,2067.003602,127.7356303,16.18188752
AB,2,DEERLAND13S,18531.2706,1217.875599,15.21606197
AB,2,DOME,16765.22557,1217.875599,13.765959
AB,2,JASPER805S,15472.69796,1217.875599,12.70466209
AB,2,NEWELL2075S89S,29821.82419,3123.841774,9.546521991
